id,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,rooms,squareFootage,lotSize,yearBuilt,lastSaleDate,lastSaleAmount,priorSaleDate,priorSaleAmount,estimated_value
184294509,2665 Bellaire St,Denver,CO,80207,39.755975,-104.937524,2,2,5,1126,5950,1936,11/28/2016,495000,,71500,494688
141362581,834 S Emerson St,Denver,CO,80209,39.701365,-104.976598,4,2,7,1539,4750,1891,11/28/2016,525000,,96200,560901
184784468,2910 Ivy St,Denver,CO,80207,39.758691,-104.919607,3,1,5,946,7630,1947,11/21/2016,360000,,40400,391249
184288901,2045 Birch St,Denver,CO,80207,39.748286,-104.936463,3,3,7,2397,8920,1912,11/14/2016,925000,,,971522
184311494,736 S High St,Denver,CO,80209,39.703091,-104.964861,3,4,8,2879,4690,2012,7/13/2017,1710000,7/19/2013,1250000,1786700
217317271,2935 N Franklin St,Denver,CO,80205,39.758878,-104.968424,4,4,10,2198,4990,2012,9/4/2013,595000,12/18/2012,120000,832896
217649194,1839 Irving St,Denver,CO,80204,39.74598,-105.0304,3,3,7,2177,4500,2012,8/10/2016,665000,10/31/2012,435000,709200
51287659,2929 Fairfax St,Denver,CO,80207,39.758947,-104.928555,3,3,6,1864,6250,2012,4/26/2013,424000,9/11/2012,0,575767
184661058,401 S Garfield St # 8,Denver,CO,80209,39.70906,-104.94711,3,5,7,3657,5212,2012,9/5/2012,350000,9/4/2012,435000,1946690
28613004,1066 S Gilpin St,Denver,CO,80209,39.697154,-104.967208,4,6,9,3399,6250,2012,10/8/2013,1695000,8/23/2012,550000,2436090
39507286,2810 N Humboldt St,Denver,CO,80205,39.757378,-104.969298,3,4,10,2259,4720,2012,5/15/2013,555300,8/21/2012,158000,800102
217671659,1026 31st St,Denver,CO,80205,39.76159,-104.97756,3,4,7,2102,3804,2012,10/20/2016,675000,8/9/2012,455741,790778
184306105,518 S Gilpin St,Denver,CO,80209,39.707068,-104.967168,4,6,8,3169,6240,2012,11/12/2013,1695000,6/20/2012,458500,2422387
184309952,871 S Gilpin St,Denver,CO,80209,39.700775,-104.967823,3,6,8,3584,6720,2012,8/24/2015,2500000,4/18/2012,550000,2942072
184303442,558 Fillmore St,Denver,CO,80206,39.725212,-104.953066,3,4,7,2596,5370,2012,7/27/2016,1520000,4/13/2012,300000,1725045
184301140,2720 N Vine St,Denver,CO,80205,39.756308,-104.961877,3,4,12,2425,4690,2012,1/18/2013,535000,1/4/2012,87500,774308
1640028,1251 Harrison St,Denver,CO,80206,39.736112,-104.942112,3,3,7,2122,4460,2012,10/17/2012,522000,11/21/2011,119800,745022
51087727,2334 Grape St,Denver,CO,80207,39.751802,-104.924309,1,3,5,1967,6250,2012,3/13/2017,1175000,9/8/2011,165000,915881
184306261,856 S Gilpin St,Denver,CO,80209,39.700965,-104.967179,3,4,8,2598,4690,2012,3/28/2013,1275000,8/8/2011,417000,1893823
184312837,819 S Gaylord St,Denver,CO,80209,39.701598,-104.962027,3,4,8,2587,4680,2012,9/5/2012,953739,8/2/2011,360000,1531818
184305767,445 Cook St,Denver,CO,80206,39.723397,-104.94771,3,8,8,4570,6250,2012,4/12/2013,2400000,7/26/2011,570000,3553999
143280109,3965 N Cook St,Denver,CO,80205,39.772238,-104.947879,4,2,7,1300,6261,2012,3/11/2013,155000,11/12/2010,80000,397409
184688424,3160 Champa St,Denver,CO,80205,39.7612,-104.97465,3,4,8,1666,3125,2012,6/28/2016,497500,11/23/2009,234700,595593
143289045,860 S Garfield St,Denver,CO,80209,39.700708,-104.943895,3,5,7,3931,12000,2012,5/16/2012,850000,9/24/2009,675000,2338657
22862010,1034 S Vine St,Denver,CO,80209,39.697721,-104.962578,3,3,8,2580,5040,2012,6/6/2014,1160000,6/11/2008,417000,1578266
15228827,564 S Race St,Denver,CO,80209,39.706195,-104.9637,3,4,9,3389,7800,2012,6/9/2008,650000,10/29/2007,580000,1836372
30546344,1125 W 13th Ave,Denver,CO,80204,39.737052,-105.002336,2,4,4,1550,1570,2012,12/27/2006,17000,9/22/2006,15000,503844
39602400,2727 E Alameda Ave,Denver,CO,80209,39.711378,-104.954384,4,8,7,3612,7600,2012,2/24/2012,460000,7/28/2006,0,2572271
8300952,900 Madison St,Denver,CO,80206,39.730672,-104.945877,3,5,7,3200,5950,2012,12/28/2011,385000,1/30/2006,369900,1060276
39593878,701 S Jackson St,Denver,CO,80209,39.703547,-104.94473,5,10,11,5909,16100,2012,6/22/2011,510000,7/20/2004,461700,2635078
